"$elevation [um]","$res_length [um]","$res_width [mm]","Freq [GHz]","dB(S(Port1,Port1)) []"
0,95,0.055,1,-34.6209956399826
0,95,0.055,1.1,-35.0111345917438
0,95,0.055,1.2,-35.3928459304298
0,95,0.055,1.3,-35.7677766466436
0,95,0.055,1.4,-36.1375936276092
0,95,0.055,1.5,-36.5038143475181
0,95,0.055,1.6,-36.8677409572438
0,95,0.055,1.7,-37.2304487469924
0,95,0.055,1.8,-37.5928004826991
0,95,0.055,1.9,-37.9554706999479
0,95,0.055,2,-38.3189714551717
0,95,0.055,2.1,-38.6836752649416
0,95,0.055,2.2,-39.0498332961872
0,95,0.055,2.3,-39.4175880971657
0,95,0.055,2.4,-39.7869807575691
0,95,0.055,2.5,-40.1579526380861
0,95,0.055,2.6,-40.530341880998
0,95,0.055,2.7,-40.9038749034184
0,95,0.055,2.8,-41.2781530464407
0,95,0.055,2.9,-41.6526345517344
0,95,0.055,3,-42.0266121004462
0,95,0.055,3.1,-42.399186316585
0,95,0.055,3.2,-42.7692359511912
0,95,0.055,3.3,-43.1353859706382
0,95,0.055,3.4,-43.4959755154906
0,95,0.055,3.5,-43.8490287010142
0,95,0.055,3.6,-44.1922324786679
0,95,0.055,3.7,-44.522927168909
0,95,0.055,3.8,-44.838116577759
0,95,0.055,3.9,-45.1345054173241
0,95,0.055,4,-45.4085714794523
0,95,0.055,4.1,-45.6566779788026
0,95,0.055,4.2,-45.8752271196819
0,95,0.055,4.3,-46.0608491535481
0,95,0.055,4.4,-46.210612754504
0,95,0.055,4.5,-46.3222343056475
0,95,0.055,4.6,-46.3942583358406
0,95,0.055,4.7,-46.4261814778071
0,95,0.055,4.8,-46.4184991955145
0,95,0.055,4.9,-46.3726670960891
0,95,0.055,5,-46.2909835773557
0,95,0.055,5.1,-46.1764135395998
0,95,0.055,5.2,-46.0323804160631
0,95,0.055,5.3,-45.8625545494472
0,95,0.055,5.4,-45.6706610259471
0,95,0.055,5.5,-45.4603220032549
0,95,0.055,5.6,-45.2349400529287
0,95,0.055,5.7,-44.997622040202
0,95,0.055,5.8,-44.7511384621475
0,95,0.055,5.9,-44.4979109307022
0,95,0.055,6,-44.2400200823434
0,95,0.055,6.1,-43.9792269380976
0,95,0.055,6.2,-43.7170020271457
0,95,0.055,6.3,-43.4545580015724
0,95,0.055,6.4,-43.1928827625062
0,95,0.055,6.5,-42.9327711785893
0,95,0.055,6.6,-42.6748542831971
0,95,0.055,6.7,-42.4196254105906
0,95,0.055,6.8,-42.1674631159108
0,95,0.055,6.9,-41.9186509651905
0,95,0.055,7,-41.6733944199595
0,95,0.055,7.1,-41.4318351092519
0,95,0.055,7.2,-41.1940628044959
0,95,0.055,7.3,-40.9601254075756
0,95,0.055,7.4,-40.7300372413853
0,95,0.055,7.5,-40.5037859035131
0,95,0.055,7.6,-40.2813379123127
0,95,0.055,7.7,-40.0626433436281
0,95,0.055,7.8,-39.8476396274987
0,95,0.055,7.9,-39.6362546481044
0,95,0.055,8,-39.4284092673194
0,95,0.055,8.1,-39.2240193724585
0,95,0.055,8.2,-39.0229975319366
0,95,0.055,8.3,-38.8252543283098
0,95,0.055,8.4,-38.630699426206
0,95,0.055,8.5,-38.4392424226724
0,95,0.055,8.6,-38.2507935191709
0,95,0.055,8.7,-38.0652640475694
0,95,0.055,8.8,-37.8825668767842
0,95,0.055,8.9,-37.7026167220338
0,95,0.055,9,-37.5253303747773
0,95,0.055,9.1,-37.3506268682188
0,95,0.055,9.2,-37.1784275906179
0,95,0.055,9.3,-37.0086563564777
0,95,0.055,9.4,-36.8412394438876
0,95,0.055,9.5,-36.6761056048263
0,95,0.055,9.6,-36.5131860540092
0,95,0.055,9.7,-36.3524144408674
0,95,0.055,9.8,-36.193726808413
0,95,0.055,9.9,-36.0370615420655
0,95,0.055,10,-35.8823593109526
0,95,0.055,10.1,-35.7295630037302
0,95,0.055,10.2,-35.578617660587
0,95,0.055,10.3,-35.4294704027823
0,95,0.055,10.4,-35.2820703608011
0,95,0.055,10.5,-35.1363686020002
0,95,0.055,10.6,-34.9923180584409
0,95,0.055,10.7,-34.8498734554531
0,95,0.055,10.8,-34.7089912413641
0,95,0.055,10.9,-34.5696295187175
0,95,0.055,11,-34.4317479772353
0,95,0.055,11.1,-34.295307828703
0,95,0.055,11.2,-34.160271743909
0,95,0.055,11.3,-34.0266037917222
0,95,0.055,11.4,-33.8942693803588
0,95,0.055,11.5,-33.7632352008577
0,95,0.055,11.6,-33.6334691727651
0,95,0.055,11.7,-33.504940392006
0,95,0.055,11.8,-33.3776190809121
0,95,0.055,11.9,-33.2514765403561
0,95,0.055,12,-33.126485103945
0,95,0.055,12.1,-33.0026180942072
0,95,0.055,12.2,-32.8798497807143
0,95,0.055,12.3,-32.7581553400665
0,95,0.055,12.4,-32.6375108176768
0,95,0.055,12.5,-32.5178930912809
0,95,0.055,12.6,-32.3992798361062
0,95,0.055,12.7,-32.281649491629
0,95,0.055,12.8,-32.1649812298516
0,95,0.055,12.9,-32.0492549250356
0,95,0.055,13,-31.9344511248221
0,95,0.055,13.1,-31.820551022679
0,95,0.055,13.2,-31.7075364316126
0,95,0.055,13.3,-31.5953897590864
0,95,0.055,13.4,-31.4840939830875
0,95,0.055,13.5,-31.3736326292888
0,95,0.055,13.6,-31.2639897492539
0,95,0.055,13.7,-31.1551498996334
0,95,0.055,13.8,-31.0470981223073
0,95,0.055,13.9,-30.9398199254252
0,95,0.055,14,-30.8333012653023
0,95,0.055,14.1,-30.72752852913
0,95,0.055,14.2,-30.6224885184594
0,95,0.055,14.3,-30.5181684334228
0,95,0.055,14.4,-30.4145558576551
0,95,0.055,14.5,-30.3116387438822
0,95,0.055,14.6,-30.2094054001445
0,95,0.055,14.7,-30.1078444766221
0,95,0.055,14.8,-30.0069449530367
0,95,0.055,14.9,-29.9066961265983
0,95,0.055,15,-29.8070876004728
0,95,0.055,15.1,-29.7081092727445
0,95,0.055,15.2,-29.6097513258507
0,95,0.055,15.3,-29.5120042164641
0,95,0.055,15.4,-29.4148586658033
0,95,0.055,15.5,-29.3183056503506
0,95,0.055,15.6,-29.2223363929568
0,95,0.055,15.7,-29.1269423543163
0,95,0.055,15.8,-29.0321152247941
0,95,0.055,15.9,-28.9378469165881
0,95,0.055,16,-28.8441295562119
0,95,0.055,16.1,-28.7509554772825
0,95,0.055,16.2,-28.6583172135987
0,95,0.055,16.3,-28.5662074924977
0,95,0.055,16.4,-28.4746192284754
0,95,0.055,16.5,-28.3835455170614
0,95,0.055,16.6,-28.2929796289328
0,95,0.055,16.7,-28.2029150042605
0,95,0.055,16.8,-28.1133452472743
0,95,0.055,16.9,-28.0242641210382
0,95,0.055,17,-27.9356655424269
0,95,0.055,17.1,-27.8475435772935
0,95,0.055,17.2,-27.7598924358215
0,95,0.055,17.3,-27.6727064680506
0,95,0.055,17.4,-27.5859801595718
0,95,0.055,17.5,-27.4997081273818
0,95,0.055,17.6,-27.4138851158908
0,95,0.055,17.7,-27.3285059930777
0,95,0.055,17.8,-27.2435657467851
0,95,0.055,17.9,-27.1590594811495
0,95,0.055,18,-27.0749824131596
0,95,0.055,18.1,-26.9913298693384
0,95,0.055,18.2,-26.9080972825441
0,95,0.055,18.3,-26.8252801888825
0,95,0.055,18.4,-26.74287422473
0,95,0.055,18.5,-26.6608751238592
0,95,0.055,18.6,-26.5792787146654
0,95,0.055,18.7,-26.498080917488
0,95,0.055,18.8,-26.4172777420242
0,95,0.055,18.9,-26.3368652848309
0,95,0.055,19,-26.2568397269108
0,95,0.055,19.1,-26.1771973313801
0,95,0.055,19.2,-26.0979344412143
0,95,0.055,19.3,-26.0190474770684
0,95,0.055,19.4,-25.9405329351696
0,95,0.055,19.5,-25.8623873852789
0,95,0.055,19.6,-25.7846074687191
