"$elevation [um]","$res_length [um]","$res_width [mm]","Freq [GHz]","dB(S(Port1,Port1)) []"
3,95,0.055,1,-0.549659246238819
3,95,0.055,1.1,-0.551063657162354
3,95,0.055,1.2,-0.552230621865338
3,95,0.055,1.3,-0.553202035754312
3,95,0.055,1.4,-0.554014940017579
3,95,0.055,1.5,-0.554700590038229
3,95,0.055,1.6,-0.55528478845479
3,95,0.055,1.7,-0.555788624199346
3,95,0.055,1.8,-0.556229266783464
3,95,0.055,1.9,-0.556620685605303
3,95,0.055,2,-0.55697425761221
3,95,0.055,2.1,-0.557299264181188
3,95,0.055,2.2,-0.55760329119613
3,95,0.055,2.3,-0.557892549145982
3,95,0.055,2.4,-0.558172128924545
3,95,0.055,2.5,-0.558446206610054
3,95,0.055,2.6,-0.558718207970318
3,95,0.055,2.7,-0.558990941193011
3,95,0.055,2.8,-0.559266704489509
3,95,0.055,2.9,-0.559547373750452
3,95,0.055,3,-0.559834474285703
3,95,0.055,3.1,-0.560129239797467
3,95,0.055,3.2,-0.560432661055664
3,95,0.055,3.3,-0.560745526221964
3,95,0.055,3.4,-0.561068454365908
3,95,0.055,3.5,-0.561401923404399
3,95,0.055,3.6,-0.561746293452898
3,95,0.055,3.7,-0.562101826385994
3,95,0.055,3.8,-0.562468702255164
3,95,0.055,3.9,-0.562847033092104
3,95,0.055,4,-0.563236874530887
3,95,0.055,4.1,-0.563638235605654
3,95,0.055,4.2,-0.564051087018651
3,95,0.055,4.3,-0.564475368123119
3,95,0.055,4.4,-0.564910992824434
3,95,0.055,4.5,-0.565357854569215
3,95,0.055,4.6,-0.5658158305643
3,95,0.055,4.7,-0.566284785344509
3,95,0.055,4.8,-0.566764573789054
3,95,0.055,4.9,-0.567255043670698
3,95,0.055,5,-0.567756037808319
3,95,0.055,5.1,-0.568267395882754
3,95,0.055,5.2,-0.568788955966298
3,95,0.055,5.3,-0.569320555808618
3,95,0.055,5.4,-0.569862033915207
3,95,0.055,5.5,-0.570413230449111
3,95,0.055,5.6,-0.570973987981904
3,95,0.055,5.7,-0.571544152116056
3,95,0.055,5.8,-0.57212357199753
3,95,0.055,5.9,-0.572712100734607
3,95,0.055,6,-0.573309595736598
3,95,0.055,6.1,-0.573915918984109
3,95,0.055,6.2,-0.574530937240792
3,95,0.055,6.3,-0.575154522215072
3,95,0.055,6.4,-0.575786550679155
3,95,0.055,6.5,-0.576426904551586
3,95,0.055,6.6,-0.577075470948561
3,95,0.055,6.7,-0.577732142208738
3,95,0.055,6.8,-0.57839681589544
3,95,0.055,6.9,-0.579069394779568
3,95,0.055,7,-0.579749786806253
3,95,0.055,7.1,-0.5804379050477
3,95,0.055,7.2,-0.581133667644413
3,95,0.055,7.3,-0.581836997736695
3,95,0.055,7.4,-0.582547823388039
3,95,0.055,7.5,-0.583266077501769
3,95,0.055,7.6,-0.583991697732292
3,95,0.055,7.7,-0.584724626391824
3,95,0.055,7.8,-0.585464810353708
3,95,0.055,7.9,-0.586212200952961
3,95,0.055,8,-0.586966753884871
3,95,0.055,8.1,-0.587728429102169
3,95,0.055,8.2,-0.588497190711339
3,95,0.055,8.3,-0.589273006868528
3,95,0.055,8.4,-0.59005584967546
3,95,0.055,8.5,-0.590845695075659
